COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
Uncharacterized membrane protein AbrB, regulator of aidB expression	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG3180	GC_00001145, GC_00004801, GC_00005551, GC_00005996, GC_00009725, GC_00009726, GC_00009944, GC_00009945, GC_00011753, GC_00015063, GC_00016720, GC_00021150, GC_00022787, GC_00025825	0.84	1	50	21
Periplasmic beta-glucosidase and related glycosidases	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG1472	GC_00001465, GC_00001911, GC_00002159, GC_00003176, GC_00004175, GC_00004886, GC_00006402, GC_00006445, GC_00009640, GC_00012381, GC_00020519, GC_00030154	0.84	1	50	21
Nucleoside phosphorylase	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG0775	GC_00001112, GC_00001773, GC_00002057, GC_00004286, GC_00006322, GC_00010098, GC_00011088, GC_00011693, GC_00021225, GC_00029603, GC_00031654	0.84	1	50	21
Phosphopantetheinyl transferase (holo-ACP synthase)	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG0736	GC_00001049, GC_00004464, GC_00005423, GC_00018492, GC_00019496, GC_00021782, GC_00027038, GC_00029794, GC_00033379	0.84	1	50	21
Malonyl CoA-acyl carrier protein transacylase	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG0331	GC_00001092, GC_00001225, GC_00003111, GC_00007713, GC_00014445	0.84	1	50	21
Branched-chain amino acid transport protein AzlD	3.786938448774955	0.05165404676286611	0.259659462455875	Environment	COG1687	GC_00001239, GC_00002795, GC_00003328, GC_00008118, GC_00009019, GC_00011221, GC_00012895, GC_00014939, GC_00039228	0.84	1	50	21
Arginine deiminase	3.7869384487749524	0.05165404676286619	0.259659462455875	Host	COG2235	GC_00003559, GC_00030089	0.16	0	50	21
Cys-tRNA(Pro) deacylase, prolyl-tRNA editing enzyme YbaK/EbsC	3.660145045846427	0.05572878132085648	0.2767593584436737	Environment	COG2606	GC_00001766, GC_00002966, GC_00003893, GC_00004137, GC_00004964, GC_00007040, GC_00007069, GC_00007989, GC_00008162, GC_00016406, GC_00016536, GC_00016834, GC_00020621, GC_00020766	0.76	0.9524	50	21
Cystathionine beta-lyase/cystathionine gamma-synthase	3.660145045846427	0.05572878132085648	0.2767593584436737	Environment	COG0626	GC_00000866, GC_00015984, GC_00025196	0.76	0.9524	50	21
Zn-dependent alcohol dehydrogenase	3.660145045846427	0.05572878132085648	0.2767593584436737	Environment	COG1062	GC_00000846, GC_00002228, GC_00003943, GC_00006150, GC_00010843, GC_00011664, GC_00027194, GC_00031901	0.76	0.9524	50	21
Sulfur carrier protein ThiS (thiamine biosynthesis)	3.660145045846427	0.05572878132085648	0.2767593584436737	Environment	COG2104	GC_00003266, GC_00004338, GC_00004501, GC_00004917, GC_00005657, GC_00005998, GC_00006898, GC_00007679, GC_00008585, GC_00008844, GC_00010041, GC_00010469, GC_00011537, GC_00012501, GC_00012502, GC_00021925, GC_00025319, GC_00031811, GC_00032445, GC_00039807, GC_00040822	0.76	0.9524	50	21
Thiamin biosynthesis thiazole synthase ThiGH, ThiG subunit	3.660145045846427	0.05572878132085648	0.2767593584436737	Environment	COG2022	GC_00000859	0.76	0.9524	50	21
Mg-chelatase subunit ChlI	3.5815550656873123	0.05842443529685097	0.2887515359863606	Environment	COG1239	GC_00001445, GC_00001800, GC_00025935, GC_00028770, GC_00032260, GC_00032916	0.52	0.7619	50	21
CRISPR/Cas system-associated protein Cas7,  RAMP superfamily	3.5815550656873114	0.05842443529685117	0.2887515359863606	Host	COG1857	GC_00002008, GC_00003380, GC_00004182, GC_00012872	0.48	0.2381	50	21
N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit	3.490800421583132	0.061710740649878304	0.3042620690075535	Environment	COG0145	GC_00004099, GC_00005685, GC_00010113, GC_00011085, GC_00026239	0.14	0.3333	50	21
Exoribonuclease R	3.4143750412690785	0.06463088145343895	0.31272925745971153	Environment	COG0557	GC_00001164, GC_00010162, GC_00039749	0.58	0.8095	50	21
Predicted deacetylase	3.4143750412690785	0.06463088145343895	0.31272925745971153	Environment	COG3233	GC_00001246, GC_00006507, GC_00009060, GC_00016378	0.58	0.8095	50	21
Putative periplasmic protein kinase ArgK or related GTPase of G3E family	3.4143750412690723	0.06463088145343851	0.31272925745971153	Host	COG1703	GC_00001562	0.42	0.1905	50	21
Adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase	3.4143750412690723	0.06463088145343851	0.31272925745971153	Host	COG2087	GC_00001699, GC_00018946, GC_00030391, GC_00036352	0.42	0.1905	50	21
Methylmalonyl-CoA mutase, N-terminal domain/subunit	3.4143750412690723	0.06463088145343851	0.31272925745971153	Host	COG1884	GC_00001555, GC_00001558	0.42	0.1905	50	21
Cobalamin synthase	3.4143750412690723	0.06463088145343851	0.31272925745971153	Host	COG0368	GC_00005465, GC_00008177, GC_00008378, GC_00010797, GC_00011874, GC_00019845, GC_00022293, GC_00023092, GC_00026680, GC_00030392, GC_00033671, GC_00034293, GC_00035890, GC_00036565, GC_00038115, GC_00041399	0.42	0.1905	50	21
Secreted trypsin-like serine protease	3.406269473943238	0.064949121077479	0.31272925745971153	Environment	COG5640	GC_00003190, GC_00003914, GC_00004791, GC_00004804, GC_00004952, GC_00005354, GC_00005959, GC_00007178, GC_00007179, GC_00007980, GC_00009840, GC_00010879, GC_00010940, GC_00011131, GC_00011429, GC_00013635, GC_00014411, GC_00014529, GC_00015218, GC_00016020, GC_00018661, GC_00019675, GC_00020316, GC_00020390, GC_00020871, GC_00020982, GC_00021124, GC_00021425, GC_00025036, GC_00026001, GC_00027895, GC_00029083, GC_00034665, GC_00034902, GC_00035594, GC_00037230, GC_00037445, GC_00038274, GC_00040060, GC_00040585, GC_00041774	0.7	0.9048	50	21
Glutathionyl-hydroquinone reductase	3.406269473943238	0.064949121077479	0.31272925745971153	Environment	COG0435	GC_00000963, GC_00004881	0.7	0.9048	50	21
Transposase (or an inactivated derivative)	3.406269473943238	0.064949121077479	0.31272925745971153	Environment	COG3328	GC_00000002, GC_00000003, GC_00000012, GC_00003169, GC_00006820, GC_00006823, GC_00028845	0.7	0.9048	50	21
DNA-binding transcriptional regulator, PadR family	3.406269473943238	0.064949121077479	0.31272925745971153	Environment	COG1695	GC_00001820, GC_00002977, GC_00003242, GC_00003321, GC_00004200, GC_00004219, GC_00004462, GC_00004675, GC_00008984, GC_00010372, GC_00010373, GC_00010882, GC_00012931, GC_00013399, GC_00018247, GC_00019348, GC_00020779, GC_00024128, GC_00025726, GC_00026240, GC_00028714, GC_00029383, GC_00031408, GC_00033635, GC_00034407, GC_00035453, GC_00039742, GC_00041577	0.7	0.9048	50	21
ABC-type thiamine/hydroxymethylpyrimidine transport system, permease component	3.3394621856078395	0.06763671318380601	0.32041724033619073	Host	COG4721	GC_00000768, GC_00014170	0.92	0.7619	50	21
Uncharacterized membrane protein YkvI	3.3394621856078395	0.06763671318380601	0.32041724033619073	Host	COG3949	GC_00000056, GC_00001388, GC_00005530, GC_00005877, GC_00006449, GC_00008789, GC_00010042, GC_00010296, GC_00012195, GC_00013265, GC_00029835, GC_00038476, GC_00039700	0.92	0.7619	50	21
NCAIR mutase (PurE)-related protein	3.339462185607835	0.0676367131838068	0.32041724033619073	Environment	COG1691	GC_00002877	0.08	0.2381	50	21
ATP-utilizing enzyme, PP-loop superfamily	3.339462185607835	0.0676367131838068	0.32041724033619073	Environment	COG1606	GC_00002758	0.08	0.2381	50	21
Predicted pyrophosphatase or phosphodiesterase, AlkP superfamily	3.339462185607835	0.0676367131838068	0.32041724033619073	Environment	COG1524	GC_00004022, GC_00014063, GC_00028400	0.08	0.2381	50	21
Uncharacterized conserved protein, DUF111 family	3.339462185607835	0.0676367131838068	0.32041724033619073	Environment	COG1641	GC_00002882	0.08	0.2381	50	21
CBS-domain-containing membrane protein	3.339462185607835	0.0676367131838068	0.32041724033619073	Environment	COG3448	GC_00006095, GC_00010228, GC_00010819, GC_00028882	0.08	0.2381	50	21
Uncharacterized protein YxjI	3.280798810371312	0.07009480492571324	0.32399305001943357	Environment	COG4894	GC_00003221, GC_00004380, GC_00005610, GC_00018600, GC_00029149	0.18	0.381	50	21
Uncharacterized membrane protein YbaN, DUF454 family	3.280798810371312	0.07009480492571324	0.32399305001943357	Environment	COG2832	GC_00002248, GC_00010885, GC_00038081, GC_00040436	0.18	0.381	50	21
Endonuclease YncB, thermonuclease family	3.279284707582689	0.07015950037602868	0.32399305001943357	Environment	COG1525	GC_00001222, GC_00004928, GC_00015957, GC_00016511, GC_00017988, GC_00019431, GC_00022618, GC_00024561, GC_00026126, GC_00027112, GC_00028211, GC_00028575, GC_00032616, GC_00033280, GC_00033843, GC_00035530, GC_00035825, GC_00036356, GC_00037726, GC_00038600	0.48	0.7143	50	21
NhaP-type Na+/H+ or K+/H+ antiporter	3.279284707582689	0.07015950037602868	0.32399305001943357	Environment	COG0025	GC_00001359, GC_00004607, GC_00007266, GC_00031521, GC_00038847, GC_00039271, GC_00041010	0.48	0.7143	50	21
Signal transduction histidine kinase regulating C4-dicarboxylate transport system	3.261762350890265	0.07091287573382472	0.32399305001943357	Host	COG4191	GC_00006142, GC_00007239	0.14	0	50	21
UDP:flavonoid glycosyltransferase YjiC, YdhE family	3.261762350890265	0.07091287573382472	0.32399305001943357	Host	COG1819	GC_00004308, GC_00037550, GC_00038920	0.14	0	50	21
TusA-related sulfurtransferase	3.261762350890265	0.07091287573382472	0.32399305001943357	Host	COG0425	GC_00004984, GC_00010546, GC_00027524	0.14	0	50	21
Predicted transcriptional regulator YheO, contains PAS and DNA-binding HTH domains	3.261762350890265	0.07091287573382472	0.32399305001943357	Host	COG2964	GC_00003535	0.14	0	50	21
Uncharacterized membrane protein, DUF485 family	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG3162	GC_00000745, GC_00002192	0.86	1	50	21
Glycine/D-amino acid oxidase (deaminating)	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG0665	GC_00001167, GC_00001747, GC_00001893, GC_00002408, GC_00003280, GC_00004479, GC_00004541, GC_00004669, GC_00004670, GC_00004808, GC_00004903, GC_00005693, GC_00007675, GC_00007790, GC_00008263, GC_00010384, GC_00012379, GC_00013368, GC_00013641, GC_00013881, GC_00014232, GC_00014327, GC_00016504, GC_00026852, GC_00027576, GC_00031570, GC_00033932, GC_00035830, GC_00036004, GC_00038978, GC_00040690	0.86	1	50	21
Predicted sulfurtransferase	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG1054	GC_00000720	0.86	1	50	21
Predicted Fe2+/Mn2+ transporter, VIT1/CCC1 family	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG1814	GC_00001042, GC_00001230, GC_00003296, GC_00025348, GC_00034117	0.86	1	50	21
Na+(or H+)/acetate symporter ActP	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG4147	GC_00000044	0.86	1	50	21
Acyl-CoA thioesterase	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG1946	GC_00000976, GC_00003410, GC_00008024, GC_00011997, GC_00024909, GC_00032274	0.86	1	50	21
Acetyltransferase (isoleucine patch superfamily)	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG0110	GC_00000984, GC_00001519, GC_00002131, GC_00002513, GC_00004311, GC_00004867, GC_00004977, GC_00009695, GC_00009696, GC_00010926, GC_00013415, GC_00021643, GC_00022620, GC_00023284, GC_00026241, GC_00026727, GC_00029219, GC_00033190, GC_00035265, GC_00036603	0.86	1	50	21
Multidrug resistance efflux pump	3.2617623508902622	0.07091287573382545	0.32399305001943357	Environment	COG1566	GC_00001887, GC_00001888, GC_00002500, GC_00003751, GC_00004201, GC_00005456, GC_00006450	0.86	1	50	21
Plastocyanin	3.191436184983351	0.07402495071963994	0.337461859599955	Environment	COG3794	GC_00002834, GC_00004069, GC_00005911, GC_00007618, GC_00017008, GC_00022583, GC_00031197, GC_00032221, GC_00042144	0.3	0.5238	50	21
Type II restriction/modification system, DNA methylase subunit YeeA	3.156370581450814	0.07563115542745867	0.34402136185587395	Host	COG1002	GC_00001300, GC_00001943, GC_00002052, GC_00002369, GC_00005584, GC_00007787, GC_00010862, GC_00011561, GC_00016235, GC_00019493, GC_00019631, GC_00021522, GC_00024510, GC_00026063, GC_00026614, GC_00031921	0.74	0.5238	50	21
Siderophore synthetase component	3.12969203024997	0.07687826216037807	0.3451128973837109	Host	COG4264	GC_00003741, GC_00007437, GC_00011395, GC_00029529, GC_00032413, GC_00036377	0.22	0.0476	50	21
Pimeloyl-CoA synthetase	3.12969203024997	0.07687826216037807	0.3451128973837109	Host	COG1424	GC_00005739, GC_00009661, GC_00011075, GC_00011383, GC_00018731, GC_00018892, GC_00029351	0.22	0.0476	50	21
Type I site-specific restriction endonuclease, part of a restriction-modification system	3.12969203024997	0.07687826216037807	0.3451128973837109	Host	COG4096	GC_00007436, GC_00009220, GC_00009395, GC_00013531, GC_00013957, GC_00035833, GC_00039764	0.22	0.0476	50	21
Membrane proteinase PrsW, cleaves anti-sigma factor RsiW, M82 family	3.1296920302499647	0.07687826216037918	0.3451128973837109	Environment	COG2339	GC_00003235, GC_00003939, GC_00004153, GC_00005204, GC_00006012, GC_00007198, GC_00007869, GC_00008665, GC_00011751, GC_00012375, GC_00012836, GC_00013268, GC_00014408, GC_00014671, GC_00017771, GC_00018124, GC_00018166, GC_00019668, GC_00020446, GC_00021891, GC_00022144, GC_00023104, GC_00023170, GC_00025305, GC_00026086, GC_00026139, GC_00026255, GC_00026330, GC_00026467, GC_00026889, GC_00028059, GC_00029214, GC_00029467, GC_00029799, GC_00030128, GC_00030746, GC_00032925, GC_00034603, GC_00035782, GC_00037326, GC_00037613, GC_00038006, GC_00038353, GC_00040064, GC_00040811, GC_00041593	0.78	0.9524	50	21
Predicted permease	3.1296920302499647	0.07687826216037918	0.3451128973837109	Environment	COG0679	GC_00001158, GC_00001959, GC_00002638, GC_00005432, GC_00007466, GC_00009735, GC_00024625, GC_00025539, GC_00026270	0.78	0.9524	50	21
Catechol 2,3-dioxygenase or other lactoylglutathione lyase family enzyme	3.1296920302499647	0.07687826216037918	0.3451128973837109	Environment	COG0346	GC_00001550, GC_00001818, GC_00002206, GC_00002760, GC_00003142, GC_00004293, GC_00004551, GC_00005274, GC_00006536, GC_00006893, GC_00007226, GC_00007797, GC_00009303, GC_00009751, GC_00009876, GC_00010395, GC_00011341, GC_00011678, GC_00011839, GC_00011961, GC_00012751, GC_00013420, GC_00013432, GC_00013791, GC_00015364, GC_00017022, GC_00020259, GC_00020588, GC_00022487, GC_00026448, GC_00027940, GC_00028969, GC_00030443, GC_00030580, GC_00032283, GC_00032531, GC_00032636, GC_00032762, GC_00035131, GC_00035214, GC_00035313, GC_00035724, GC_00035727, GC_00036127, GC_00036360, GC_00037001, GC_00037814, GC_00039276, GC_00039338, GC_00039437, GC_00041848	0.78	0.9524	50	21
Predicted ATPase, AAA+ superfamily	3.048844146799512	0.08079462470970508	0.36190359129227373	Host	COG1373	GC_00003083, GC_00003488, GC_00004237, GC_00004945, GC_00005301, GC_00005755, GC_00006155, GC_00006448, GC_00008635, GC_00009325, GC_00010290, GC_00010291, GC_00010980, GC_00013167, GC_00013887, GC_00016037, GC_00017062, GC_00019783, GC_00021138, GC_00022203, GC_00027515, GC_00035196, GC_00035364, GC_00035385, GC_00036482, GC_00036613, GC_00037535, GC_00038610, GC_00041463, GC_00041978, GC_00042020	0.46	0.2381	50	21
Uncharacterized OsmC-related protein	3.040747708250084	0.08119850861521094	0.36213478028822926	Environment	COG1765	GC_00001651, GC_00002783, GC_00003146, GC_00007706, GC_00010751, GC_00035560, GC_00039145	0.44	0.6667	50	21
Aspartate 1-decarboxylase	3.040747708250084	0.08119850861521094	0.36213478028822926	Environment	COG0853	GC_00001270, GC_00017644	0.44	0.6667	50	21
Ketopantoate reductase	2.9006957337898265	0.08854132950813437	0.3940280811011348	Environment	COG1893	GC_00002714, GC_00003888, GC_00004075, GC_00004358, GC_00005455, GC_00007810, GC_00008279, GC_00009732, GC_00009733, GC_00012711, GC_00012995, GC_00018448, GC_00031963, GC_00034382	0.6	0.8095	50	21
Nucleoside-diphosphate-sugar epimerase	2.89323962681472	0.08895189490854158	0.39500020719646106	Environment	COG0451	GC_00001346, GC_00001556, GC_00002744, GC_00004533, GC_00005656, GC_00006934, GC_00009169, GC_00010721, GC_00013517, GC_00014354, GC_00014953, GC_00014982, GC_00018409, GC_00020089, GC_00020214, GC_00020989, GC_00021561, GC_00024739, GC_00026378, GC_00029678, GC_00033482, GC_00034135, GC_00034788, GC_00035681, GC_00036233, GC_00037525, GC_00039033, GC_00041332	0.72	0.9048	50	21
ABC-type transport system involved in multi-copper enzyme maturation, permease component	2.851281431495916	0.09130113772749653	0.39950929016301456	Environment	COG1277	GC_00004053, GC_00004092, GC_00004728, GC_00005282, GC_00005855, GC_00012629, GC_00012977, GC_00019305, GC_00019716, GC_00026874, GC_00041884	0.4	0.619	50	21
Uncharacterized phage-associated protein	2.839284137571003	0.09198518590535731	0.39950929016301456	Host	COG3600	GC_00005164, GC_00005954, GC_00006350, GC_00007841, GC_00008902, GC_00010702, GC_00011602, GC_00013836, GC_00015402, GC_00017776, GC_00025147, GC_00029807, GC_00032332, GC_00035875, GC_00036587, GC_00040068	0.34	0.1429	50	21
ABC-type molybdate transport system, periplasmic component	2.8392841375709987	0.09198518590535747	0.39950929016301456	Environment	COG0725	GC_00003859, GC_00004431, GC_00004467, GC_00004656, GC_00004991, GC_00006425, GC_00007107, GC_00007170, GC_00007390, GC_00009906, GC_00013290, GC_00018188, GC_00020811, GC_00021963, GC_00026454, GC_00027080, GC_00035328, GC_00036249, GC_00041726	0.66	0.8571	50	21
ABC-type taurine transport system, periplasmic component	2.8338112154398893	0.09229908211450905	0.39950929016301456	Environment	COG4521	GC_00004128, GC_00013050, GC_00030219, GC_00034123	0.06	0.1905	50	21
Bifunctional DNA-binding transcriptional regulator of stationary/sporulation/toxin gene expression and antitoxin component of the YhaV-PrlF toxin-antitoxin module	2.8338112154398893	0.09229908211450905	0.39950929016301456	Environment	COG2002	GC_00006574, GC_00012368, GC_00020749	0.06	0.1905	50	21
Pyridoxine/pyridoxamine 5'-phosphate oxidase	2.8338112154398893	0.09229908211450905	0.39950929016301456	Environment	COG0259	GC_00006524, GC_00011660, GC_00029494, GC_00038514	0.06	0.1905	50	21
Transposase and inactivated derivatives, TnpA family	2.8338112154398893	0.09229908211450905	0.39950929016301456	Environment	COG4644	GC_00002917, GC_00041056	0.06	0.1905	50	21
